Subject,Start Date,Start Time,End Time
Period 6,1/3/2023,12:59 PM,1:42 PM
Period 7,1/3/2023,1:47 PM,2:30 PM
Period 1,1/4/2023,7:45 AM,8:30 AM
Period 2,1/4/2023,8:35 AM,9:17 AM
Period 3,1/4/2023,9:52 AM,10:34 AM
Period 4,1/4/2023,10:39 AM,11:21 AM
Lunch,1/4/2023,11:21 AM,12:09 PM
Period 5,1/4/2023,12:14 PM,12:56 PM
Period 6,1/4/2023,1:01 PM,1:43 PM
Period 7,1/4/2023,1:48 PM,2:30 PM
Advisory,1/4/2023,9:22 AM,9:47 AM
Period 1,1/5/2023,7:45 AM,8:33 AM
